Day,Close
23817,	3752.75
23816,	3665.78
23815,	3695.16
23814,	3719.98
23813,	3677.95
23812,	3583.07
23811,	3669.91
23810,	3577.03
23809,	3588.84
23808,	3612.39
23807,	3639.66
23806,	3744.52
23805,	3783.28
23804,	3790.93
23803,	3678.43
23802,	3585.62
23801,	3640.47
23800,	3719.04
23799,	3647.29
23798,	3655.04
23797,	3693.23
23796,	3757.99
23795,	3789.93
23794,	3855.93
23793,	3899.89
23792,	3873.33
23791,	3901.35
23790,	3946.01
23789,	3932.69
23788,	4110.41
23787,	4067.36
23786,	4006.18
23785,	3979.87
23784,	3908.19
23783,	3924.26
23782,	3966.85
23781,	3955.00
23780,	3986.16
23779,	4030.61
23778,	4057.66
23777,	4199.12
23776,	4140.77
23775,	4128.73
23774,	4137.99
23773,	4228.48
23772,	4283.74
23771,	4274.04
23770,	4305.20
23769,	4297.14
23768,	4280.15
23767,	4207.27
23766,	4210.24
23765,	4122.47
23764,	4140.06
23763,	4145.19
23762,	4151.94
23761,	4155.17
23760,	4091.19
23759,	4118.63
23758,	4130.29
23757,	4072.43
23756,	4023.61
23755,	3921.05
23754,	3966.84
23753,	3961.63
23752,	3998.95
23751,	3959.90
23750,	3936.69
23749,	3830.85
23748,	3863.16
23747,	3790.38
23746,	3801.78
23745,	3818.80
23744,	3854.43
23743,	3899.38
23742,	3902.62
23741,	3845.08
23740,	3831.39
23739,	3825.33
23738,	3785.38
23737,	3818.83
23736,	3821.55
23735,	3900.11
23734,	3911.74
23733,	3795.73
23732,	3759.89
23731,	3764.79
23730,	3674.84
23729,	3666.77
23728,	3789.99
23727,	3735.48
23726,	3749.63
23725,	3900.86
23724,	4017.82
23723,	4115.77
23722,	4160.68
23721,	4121.43
23720,	4108.54
23719,	4176.82
23718,	4101.23
23717,	4132.15
23716,	4158.24
23715,	4057.84
23714,	3978.73
23713,	3941.48
23712,	3973.75
23711,	3901.36
23710,	3900.79
23709,	3923.68
23708,	4088.85
23707,	4008.01
23706,	4023.89
23705,	3930.08
23704,	3935.18
23703,	4001.05
23702,	3991.24
23701,	4123.34
23700,	4146.87
23699,	4300.17
23698,	4175.48
23697,	4155.38
23696,	4131.93
23695,	4287.50
23694,	4183.96
23693,	4175.20
23692,	4296.12
23691,	4271.78
23690,	4393.66
23689,	4459.45
23688,	4462.21
23687,	4391.69
23686,	4392.59
23685,	4446.59
23684,	4397.45
23683,	4412.53
23682,	4488.28
23681,	4500.21
23680,	4481.15
23679,	4525.12
23678,	4582.64
23677,	4545.86
23676,	4530.41
23675,	4602.45
23674,	4631.60
23673,	4575.52
23672,	4543.06
23671,	4520.16
23670,	4456.24
23669,	4511.61
23668,	4461.18
23667,	4463.12
23666,	4411.67
23665,	4357.86
23664,	4262.45
23663,	4173.11
23662,	4204.31
23661,	4259.52
23660,	4277.88
23659,	4170.70
23658,	4201.09
23657,	4328.87
23656,	4363.49
23655,	4386.54
23654,	4306.26
23653,	4373.94
23652,	4384.65
23651,	4288.70
23650,	4225.50
23649,	4304.76
23648,	4348.87
23647,	4380.26
23646,	4475.01
23645,	4471.07
23644,	4401.67
23643,	4418.64
23642,	4504.08
23641,	4587.18
23640,	4521.54
23639,	4483.87
23638,	4500.53
23637,	4477.44
23636,	4589.38
23635,	4546.54
23634,	4515.55
23633,	4431.85
23632,	4326.51
23631,	4349.93
23630,	4356.45
23629,	4410.13
23628,	4397.94
23627,	4482.73
23626,	4532.76
23625,	4577.11
23624,	4662.85
23623,	4659.03
23622,	4726.35
23621,	4713.07
23620,	4670.29
23619,	4677.03
23618,	4696.05
23617,	4700.58
23616,	4793.54
23615,	4796.56
23614,	4766.18
23613,	4778.73
23612,	4793.06
23611,	4786.35
23610,	4791.19
23609,	4725.79
23608,	4696.56
23607,	4649.23
23606,	4568.02
23605,	4620.64
23604,	4668.67
23603,	4709.85
23602,	4634.09
23601,	4668.97
23600,	4712.02
23599,	4667.45
23598,	4701.21
23597,	4686.75
23596,	4591.67
23595,	4538.43
23594,	4577.10
23593,	4513.04
